,population,capacity,capacity_within,population_within,load,provision
365,0,0,0,0,,
366,0,0,0,18934,,
367,0,0,0,29195,,
368,0,0,0,0,,
369,0,0,0,6062,,
370,0,0,0,11816,,
371,0,0,0,28383,,
372,0,0,0,25780,,
373,0,0,0,26829,,
374,0,0,0,0,,
375,0,0,0,571914,,
376,3544,0,0,1157892,,0.0
377,6320,0,0,1361870,,0.0
378,0,0,0,0,,
379,9295,0,0,1056196,,0.0
380,1444,0,0,1439815,,0.0
381,3116,0,0,1386037,,0.0
382,1960,0,0,1405366,,0.0
383,1504,0,0,1388701,,0.0
384,0,0,0,1389693,,
385,0,0,0,659864,,
386,344,0,0,540771,,0.0
387,0,0,0,237399,,
388,0,0,0,206422,,
389,0,0,0,291032,,
390,0,0,0,0,,
391,69,0,0,1340179,,0.0
392,0,0,0,142425,,
393,346,0,0,589256,,0.0
394,0,0,0,230618,,
395,0,0,0,0,,
396,0,0,0,0,,
397,0,0,0,433,,
398,0,0,0,1824,,
399,0,0,0,433,,
400,0,0,0,0,,
401,0,0,0,0,,
402,0,0,0,0,,
403,0,0,0,32,,
404,0,0,0,32,,
405,0,0,0,0,,
406,0,0,0,0,,
407,0,0,0,0,,
408,0,0,0,0,,
409,0,0,0,0,,
410,0,0,0,0,,
411,0,0,0,0,,
412,0,0,0,0,,
413,0,0,0,1824,,
414,0,0,0,0,,
415,0,0,0,0,,
416,0,0,0,0,,
417,0,0,0,0,,
418,0,0,0,0,,
419,0,0,0,0,,
420,0,0,0,0,,
421,0,0,0,0,,
422,0,0,0,0,,
423,0,0,0,388,,
424,0,0,0,32,,
425,0,0,0,0,,
426,0,0,0,32,,
427,0,0,0,0,,
428,0,0,0,0,,
429,0,0,0,32,,
430,0,0,0,0,,
431,0,0,0,0,,
432,0,0,0,0,,
433,0,0,0,0,,
434,0,0,0,0,,
435,0,0,0,0,,
436,0,0,0,100884,,
437,0,0,0,0,,
438,0,0,0,0,,
439,0,0,0,0,,
440,0,0,0,0,,
441,0,0,0,0,,
442,0,0,0,0,,
443,0,0,0,0,,
444,0,0,0,0,,
445,0,0,0,0,,
446,0,0,0,0,,
447,0,0,0,0,,
448,0,0,0,0,,
449,0,0,0,52196,,
450,0,0,0,52002,,
451,0,0,0,90126,,
452,0,0,0,111433,,
453,0,0,0,58829,,
454,0,0,0,1824,,
455,0,0,0,24025,,
456,0,0,0,9787,,
457,0,0,0,1824,,
458,0,0,0,388,,
459,0,0,0,0,,
460,0,0,0,37161,,
461,0,0,0,60487,,
462,0,0,0,70395,,
463,0,0,0,39736,,
464,0,0,0,0,,
465,0,0,0,0,,
466,0,0,0,0,,
467,0,0,0,14,,
468,0,0,0,14,,
469,0,0,0,0,,
470,0,0,0,0,,
471,0,0,0,0,,
472,0,0,0,0,,
473,0,0,0,0,,
474,7,0,0,7,,0.0
475,0,0,0,0,,
476,0,0,0,0,,
477,0,0,0,0,,
478,0,0,0,0,,
479,0,0,0,3367,,
480,0,0,0,3355,,
481,0,0,0,0,,
482,0,0,0,62081,,
483,0,0,0,66779,,
484,0,0,0,19547,,
485,0,0,0,19547,,
486,0,0,0,0,,
487,0,0,0,0,,
488,0,0,0,5537,,
489,0,0,0,0,,
490,0,0,0,0,,
491,0,0,0,0,,
492,0,0,0,0,,
493,0,0,0,0,,
494,0,0,0,3367,,
495,0,0,0,0,,
496,0,0,0,3367,,
497,0,0,0,0,,
498,0,0,0,0,,
499,0,0,0,3367,,
500,0,0,0,0,,
501,0,0,0,121109,,
502,0,0,0,0,,
503,0,0,0,84915,,
504,0,0,0,458661,,
505,0,0,0,0,,
506,0,0,0,0,,
507,0,0,0,0,,
508,0,0,0,0,,
509,0,0,0,411461,,
510,0,0,0,133349,,
511,0,0,0,76531,,
512,0,0,0,0,,
513,0,0,0,14,,
514,0,0,0,14,,
515,0,0,0,0,,
516,0,0,0,9370,,
517,0,0,0,0,,
518,0,0,0,0,,
519,0,0,0,0,,
520,0,0,0,0,,
521,0,0,0,0,,
522,0,0,0,0,,
523,0,0,0,0,,
524,0,0,0,0,,
525,0,0,0,0,,
526,0,0,0,303,,
527,0,0,0,17571,,
528,0,0,0,0,,
529,0,0,0,190811,,
530,0,0,0,19547,,
531,0,0,0,19662,,
532,0,0,0,0,,
533,0,0,0,28393,,
534,0,0,0,327216,,
535,0,0,0,18286,,
536,0,0,0,18724,,
537,0,0,0,0,,
538,0,0,0,448,,
539,0,0,0,39736,,
540,0,0,0,5745,,
541,0,0,0,31573,,
542,0,0,0,12979,,
543,0,0,0,448,,
544,0,0,0,303,,
545,0,0,0,0,,
546,0,0,0,0,,
547,0,0,0,4273,,
548,0,0,0,123322,,
549,0,0,0,3367,,
550,0,0,0,100577,,
551,0,0,0,0,,
552,0,0,0,0,,
553,0,0,0,1444658,,
554,2839,0,0,1420956,,0.0
555,0,0,0,1232830,,
556,0,0,0,520266,,
557,0,0,0,893919,,
558,0,0,0,977334,,
559,0,0,0,1112592,,
560,0,0,0,1363177,,
561,514,0,0,1382556,,0.0
562,4440,0,0,1446175,,0.0
563,48,0,0,1117432,,0.0
564,555,0,0,1262519,,0.0
565,1092,0,0,1168645,,0.0
566,19,0,0,1337743,,0.0
567,113,0,0,1343089,,0.0
568,3724,0,0,1263168,,0.0
569,4523,0,0,1070504,,0.0
570,1124,0,0,1095186,,0.0
571,14489,0,0,904938,,0.0
572,0,0,0,1439969,,
573,0,0,0,1402792,,
574,0,0,0,1466535,,
575,0,0,0,1377543,,
576,0,0,0,1410872,,
577,0,130000,210470000,1436110,11.047,
578,31,0,0,1474571,,0.0
579,0,0,0,1128533,,
580,0,0,0,1243790,,
581,0,0,0,1165931,,
582,2024,0,0,1195542,,0.0
583,1956,0,0,1106395,,0.0
584,139,0,0,1286596,,0.0
585,6368,0,0,1440004,,0.0
586,11,0,0,1447243,,0.0
587,1064,0,0,1424907,,0.0
588,3600,0,0,1376292,,0.0
589,2086,0,0,1276877,,0.0
590,22,0,0,1283979,,0.0
591,0,0,0,807756,,
592,0,0,0,1362737,,
593,0,0,0,1381617,,
594,0,0,0,1445516,,
595,0,0,0,1456001,,
596,0,0,0,1412593,,
597,0,0,0,1447278,,
598,0,0,0,344084,,
599,2009,0,0,1023662,,0.0
600,0,0,0,1107713,,
601,0,0,0,1147995,,
602,3239,0,0,1024117,,0.0
603,0,0,0,1027370,,
604,0,0,0,0,,
605,9,65000,101270000,1388625,21.36346153846154,11252222.222222222
606,459,0,0,1254170,,0.0
607,0,0,0,347909,,
608,99,0,0,930694,,0.0
609,350,0,0,1098449,,0.0
610,1290,0,0,1407700,,0.0
611,2878,0,0,1445695,,0.0
612,0,0,0,1341402,,
613,4827,0,0,1208479,,0.0
614,14,0,0,1452183,,0.0
615,0,0,0,1024749,,
616,0,0,0,1111690,,
617,31,0,0,1437878,,0.0
618,0,0,0,1408551,,
619,1494,0,0,1412777,,0.0
620,1324,0,0,1389481,,0.0
621,3497,0,0,1313746,,0.0
622,0,0,0,1385158,,
623,24,0,0,1041886,,0.0
624,420,0,0,1355329,,0.0
625,0,0,0,1431540,,
626,0,0,0,1422431,,
627,0,0,0,1396026,,
628,0,0,0,1415928,,
629,0,0,0,1421178,,
630,0,0,0,1421335,,
631,0,0,0,1365377,,
632,673,0,0,1394153,,0.0
633,775,0,0,1227318,,0.0
634,860,0,0,1302666,,0.0
635,1188,0,0,1298367,,0.0
636,5544,0,0,1180870,,0.0
637,2324,0,0,1227567,,0.0
638,818,0,0,1330869,,0.0
639,1407,0,0,1350434,,0.0
640,0,0,0,1396367,,
641,1430,0,0,1325342,,0.0
642,606,0,0,1368144,,0.0
643,331,0,0,1378379,,0.0
644,757,0,0,1390351,,0.0
645,918,0,0,1395797,,0.0
646,535,0,0,1388828,,0.0
647,207,0,0,1388353,,0.0
648,232,0,0,1450937,,0.0
649,111,0,0,1442243,,0.0
650,0,0,0,1450937,,
651,0,0,0,1438556,,
652,0,65000,107705000,1409973,21.691892307692306,
653,0,0,0,1390509,,
654,3590,0,0,1372332,,0.0
655,22,0,0,1423661,,0.0
656,845,65000,105950000,1392153,21.417738461538463,125384.61538461539
657,0,0,0,1398169,,
658,2873,0,0,1332296,,0.0
659,1387,0,0,1126868,,0.0
660,0,0,0,1356891,,
661,1794,0,0,1169559,,0.0
662,3620,0,0,1398899,,0.0
663,804,0,0,1414481,,0.0
664,7546,0,0,1185878,,0.0
665,1140,0,0,1320763,,0.0
